hotelcode,min,max,Diff_Min,Diff_Max,Score
131579,45.72,110.85,0.327,0.326,0.33
131608,58.92,105.61,0.180,0.347,0.26
131621,109.5,195.9,0.383,0.025,0.20
131663,57.27,120.55,0.199,0.286,0.24
131670,93.08,178.42,0.200,0.047,0.12
131728,67.46,103.66,0.085,0.356,0.22
131749,70.33,100.46,0.053,0.369,0.21
131759,54.55,105.26,0.229,0.349,0.29
131763,55.51,120.55,0.219,0.286,0.25
131776,35.26,75.35,0.444,0.473,0.46
131777,38.68,104.98,0.406,0.351,0.38
131785,55.25,70.33,0.222,0.494,0.36
131789,35.44,150.69,0.443,0.162,0.30
131800,113.53,194.89,0.429,0.021,0.22
131826,140.65,351.62,0.732,0.668,0.70
131830,78.36,103.48,0.036,0.357,0.20
131832,100.46,237.1,0.283,0.195,0.24
131837,77.06,148.18,0.022,0.172,0.10
131863,45.64,119.45,0.329,0.291,0.31
131888,112.52,189.88,0.418,0.000,0.21
131905,63.64,535.63,0.128,1.428,0.78
131916,35.87,75.45,0.438,0.473,0.46
131982,68.32,252.63,0.076,0.259,0.17
132001,91.33,106.7,0.181,0.344,0.26
132037,58.02,117.24,0.191,0.300,0.25
132082,78.36,88.41,0.036,0.420,0.23
132083,64.29,530.76,0.121,1.409,0.76
132099,99.46,162.4,0.272,0.114,0.19
132105,58.69,122.44,0.183,0.279,0.23
132121,46.63,154.59,0.318,0.146,0.23
132164,72.33,118.54,0.031,0.295,0.16
132200,80.17,139.64,0.057,0.208,0.13
132252,48.68,73.33,0.295,0.482,0.39
132278,85.49,120.5,0.116,0.287,0.20
132310,73.18,96.05,0.021,0.389,0.21
132335,59.53,340.94,0.174,0.625,0.40
132348,50.79,103.28,0.272,0.359,0.32
132360,55.25,124.57,0.222,0.271,0.25
132435,110.51,240.26,0.396,0.209,0.30
132453,64.78,79.37,0.115,0.458,0.29
132469,49.23,148.83,0.289,0.170,0.23
132518,48.52,113.34,0.297,0.317,0.31
132542,65.3,89.41,0.110,0.417,0.26
132555,69.32,110.51,0.065,0.329,0.20
132595,62.38,101.47,0.142,0.367,0.25
132605,48.92,77.1,0.293,0.468,0.38
132623,62.34,95,0.143,0.394,0.27
132670,130.6,241.11,0.621,0.213,0.42
132700,55.51,88.15,0.219,0.422,0.32
132716,48.52,130.75,0.298,0.246,0.27
132725,62.28,1011.63,0.144,3.408,1.78
132726,31.34,49.89,0.490,0.581,0.54
132751,41.5,70.23,0.377,0.497,0.44
132754,41.49,101.64,0.377,0.366,0.37
132788,50.28,109.28,0.278,0.335,0.31
132809,44,114.12,0.349,0.315,0.33
132815,61.28,110.51,0.155,0.330,0.24
132850,50.45,75.35,0.277,0.476,0.38
132906,42.54,97.39,0.365,0.384,0.37
132914,74.34,79.37,0.009,0.459,0.23
132923,55.24,100.44,0.223,0.372,0.30
132957,45.21,106.21,0.336,0.348,0.34
132962,67.46,156.04,0.086,0.141,0.11
132965,45.71,126.48,0.330,0.264,0.30
133008,72.1,130.18,0.034,0.248,0.14
133013,41.49,84.69,0.378,0.438,0.41
133020,53.37,118.65,0.244,0.297,0.27
133041,84.39,160.74,0.104,0.121,0.11
133046,49.78,110.85,0.285,0.329,0.31
133050,55.51,93.13,0.220,0.403,0.31
133101,105.48,158.74,0.341,0.130,0.24
133115,59.28,94.43,0.178,0.398,0.29
133146,41.49,110.85,0.378,0.330,0.35
133158,75.35,125.58,0.003,0.268,0.14
133164,50.48,110.51,0.277,0.331,0.30
133174,164.11,257.07,1.001,0.280,0.64
133187,55.51,97.35,0.220,0.386,0.30
133271,61.52,114.78,0.153,0.313,0.23
133292,38.68,99.71,0.410,0.376,0.39
133295,82.38,120.55,0.082,0.289,0.19
133335,69.32,135.63,0.065,0.227,0.15
133404,115.54,145.67,0.455,0.185,0.32
133407,55.55,154.59,0.220,0.147,0.18
133413,61.69,143.63,0.151,0.193,0.17
133422,41.19,58.27,0.382,0.550,0.47
133426,51.23,71.33,0.269,0.496,0.38
133428,59.27,117.78,0.178,0.302,0.24
133433,71.17,136.72,0.044,0.222,0.13
133443,58.21,122.44,0.190,0.282,0.24
133453,65.3,95.44,0.110,0.395,0.25
133467,55.25,134.03,0.224,0.234,0.23
133471,75.35,115.54,0.003,0.311,0.16
133481,96.36,305.86,0.240,0.486,0.36
133482,125.58,256.18,0.569,0.278,0.42
133487,77.46,122.9,0.027,0.280,0.15
133509,75.39,153.88,0.003,0.151,0.08
133569,76.43,149.75,0.015,0.168,0.09
133572,46.48,87.79,0.322,0.428,0.38
133605,87.75,149.75,0.143,0.168,0.16
133627,49.35,246.83,0.290,0.239,0.26
133695,56.8,226.18,0.206,0.152,0.18
133737,44.41,81.59,0.346,0.454,0.40
133759,56.8,71.27,0.206,0.497,0.35
133781,68.16,139.43,0.078,0.212,0.14
133800,102.24,205.53,0.306,0.066,0.19
133827,50.6,80.56,0.276,0.459,0.37
133838,79.52,159.06,0.050,0.129,0.09
133847,96.13,215.86,0.237,0.109,0.17
133912,48.65,153.88,0.298,0.151,0.22
133922,82.63,185.9,0.085,0.017,0.05
133944,67.13,144.59,0.090,0.190,0.14
133962,50.6,81.59,0.276,0.455,0.37
133974,99.15,99.15,0.271,0.381,0.33
134061,63.11,85.72,0.135,0.438,0.29
134066,64.03,84.69,0.125,0.442,0.28
134087,67.13,129.1,0.090,0.255,0.17
134100,93.21,255.62,0.204,0.276,0.24
134150,61.96,90.88,0.148,0.416,0.28
134158,56.8,72.3,0.207,0.494,0.35
134230,56.8,129.1,0.207,0.256,0.23
134299,72.3,160.08,0.032,0.125,0.08
134357,101.22,108.44,0.295,0.343,0.32
134377,67.13,67.13,0.090,0.517,0.30
134380,102.24,295.38,0.307,0.444,0.38
134455,120.84,172.47,0.516,0.073,0.29
134490,66.1,107.42,0.102,0.347,0.22
134494,83.66,103.28,0.097,0.365,0.23
134521,81.59,126,0.073,0.269,0.17
134526,73.33,83.66,0.020,0.448,0.23
134559,66.1,102.24,0.102,0.369,0.24
134560,74.89,108.53,0.002,0.343,0.17
134590,95.75,156.99,0.233,0.139,0.19
134591,113.6,172.47,0.435,0.073,0.25
134645,59.91,76.43,0.172,0.478,0.33
134657,76.43,210.69,0.015,0.088,0.05
134720,76.43,113.6,0.015,0.322,0.17
134734,51.64,77.46,0.265,0.474,0.37
134788,63.78,262.07,0.128,0.305,0.22
134806,71.94,107.82,0.036,0.346,0.19
134863,84.69,161.11,0.108,0.121,0.11
134873,97.08,198.3,0.248,0.036,0.14
134924,66.1,271.63,0.102,0.345,0.22
134992,92.95,170.42,0.202,0.082,0.14
135079,71.27,128.07,0.043,0.261,0.15
135206,45.6,88.01,0.334,0.430,0.38
135240,76.22,174.54,0.013,0.065,0.04
135292,74.36,110.51,0.008,0.335,0.17
135327,59.49,118.78,0.177,0.300,0.24
135375,86.75,143.56,0.132,0.196,0.16
135380,86.75,210.69,0.132,0.088,0.11
135447,41.31,96.05,0.382,0.397,0.39
135490,65.07,113.6,0.113,0.323,0.22
135530,75.39,108.44,0.003,0.345,0.17
135532,76.43,104.31,0.015,0.362,0.19
135574,60.93,108.44,0.160,0.345,0.25
135579,50.6,122.9,0.277,0.284,0.28
135628,71.27,154.92,0.043,0.148,0.10
135663,81.59,112.58,0.073,0.327,0.20
135668,84.69,154.92,0.109,0.148,0.13
135672,102.24,112.58,0.307,0.327,0.32
135682,113.6,181.78,0.436,0.034,0.24
135708,61.07,88.39,0.159,0.430,0.29
135722,84.69,154.92,0.109,0.148,0.13
135743,81.59,133.23,0.073,0.240,0.16
135749,113.6,196.23,0.436,0.027,0.23
135754,70.23,83.66,0.055,0.450,0.25
135763,102.24,122.9,0.307,0.284,0.30
135800,102.12,165.95,0.306,0.102,0.20
135832,55.77,128.07,0.219,0.262,0.24
135848,95.02,214.91,0.225,0.106,0.17
135876,98.12,160.08,0.261,0.126,0.19
135906,80.56,161.11,0.062,0.122,0.09
135958,56.8,56.8,0.207,0.565,0.39
136027,35.06,164.22,0.453,0.109,0.28
136077,81.59,184.87,0.073,0.021,0.05
136099,67.13,196.23,0.090,0.027,0.06
136273,102.24,146.66,0.307,0.184,0.25
136275,63,111.54,0.137,0.333,0.23
136289,66.62,174.54,0.096,0.065,0.08
136319,64.14,107.42,0.124,0.350,0.24
136333,81.59,122.9,0.074,0.285,0.18
136335,80.56,128.07,0.062,0.263,0.16
136340,74.88,111.54,0.002,0.333,0.17
136341,86.75,174.54,0.132,0.065,0.10
136400,50.6,149.75,0.278,0.171,0.22
136431,77.46,103.28,0.027,0.368,0.20
136478,48.28,91.92,0.304,0.417,0.36
136494,50.11,157.61,0.283,0.137,0.21
136496,67.02,99.98,0.092,0.383,0.24
136509,153.51,161.58,0.889,0.120,0.50
136513,72.3,154.92,0.032,0.149,0.09
136532,51.64,75.39,0.266,0.488,0.38
136545,55.77,115.67,0.219,0.316,0.27
136578,68.16,126,0.079,0.272,0.18
136598,62.77,122.9,0.140,0.285,0.21
136607,225.15,698.18,1.701,2.165,1.93
136613,81.59,174.54,0.074,0.065,0.07
136615,84.18,166.28,0.103,0.101,0.10
136636,91.92,154.92,0.191,0.149,0.17
136665,41.31,149.75,0.383,0.171,0.28
136693,63,133.23,0.137,0.241,0.19
136701,51.64,109.48,0.266,0.343,0.30
136716,60.93,122.9,0.161,0.286,0.22
136804,80.56,340.82,0.062,0.643,0.35
136902,36.15,76.43,0.442,0.484,0.46
136975,55.77,86.75,0.219,0.440,0.33
136996,64.03,121.87,0.126,0.290,0.21
137044,73.43,154.92,0.019,0.149,0.08
137081,115.05,211.52,0.453,0.092,0.27
137208,82.63,148.72,0.085,0.176,0.13
137228,57.84,97.08,0.196,0.396,0.30
137323,60.93,98.12,0.161,0.392,0.28
137358,73.43,143.56,0.019,0.198,0.11
137361,59.91,113.6,0.172,0.326,0.25
137367,67.64,134.27,0.085,0.238,0.16
137394,136.63,197.06,0.698,0.031,0.36
137409,122.64,485.41,0.540,1.262,0.90
137436,73.84,153.88,0.014,0.154,0.08
137438,75.39,102.24,0.003,0.374,0.19
137470,44.41,77.46,0.348,0.480,0.41
137472,71.27,165.24,0.043,0.105,0.07
137524,77.46,169.38,0.027,0.088,0.06
137527,60.93,102.24,0.161,0.375,0.27
137542,73.43,79.01,0.019,0.474,0.25
137578,87.79,129.1,0.144,0.260,0.20
137597,82.52,133.23,0.084,0.242,0.16
137638,81.59,144.59,0.074,0.194,0.13
137651,86.02,195.2,0.124,0.023,0.07
137744,82.63,144.59,0.086,0.194,0.14
137751,56.8,144.59,0.208,0.194,0.20
137774,81.59,115.67,0.074,0.318,0.20
137782,65.07,101.22,0.114,0.380,0.25
137788,56.8,77.46,0.208,0.482,0.34
137801,87.79,123.94,0.144,0.282,0.21
137811,82.52,158.33,0.084,0.135,0.11
137866,70.23,104.31,0.055,0.367,0.21
137928,44.61,78.06,0.347,0.479,0.41
137945,90.23,140.41,0.172,0.212,0.19
137980,54.75,76.04,0.231,0.488,0.36
137984,133.83,331.53,0.668,0.607,0.64
137990,90.74,100.87,0.178,0.382,0.28
138046,60.84,173.88,0.162,0.069,0.12
138081,55.64,102.2,0.221,0.376,0.30
138105,76.04,157.14,0.011,0.140,0.08
138109,88.21,108.49,0.149,0.349,0.25
138133,65.9,71.17,0.105,0.510,0.31
138145,59.82,129.08,0.174,0.261,0.22
138224,75.53,187.56,0.005,0.010,0.01
138227,92.15,128.75,0.194,0.263,0.23
138228,81.1,121.66,0.068,0.293,0.18
138270,70.97,136.87,0.047,0.228,0.14
138273,80.1,172.35,0.057,0.075,0.07
138321,54.75,116.59,0.232,0.315,0.27
138410,76.04,86.18,0.011,0.446,0.23
138462,80.1,125.21,0.057,0.278,0.17
138520,99.46,211.89,0.277,0.095,0.19
138570,104.43,134.84,0.334,0.237,0.29
138676,70.2,107.08,0.056,0.356,0.21
138685,45.21,142.54,0.340,0.204,0.27
138716,72.61,218.92,0.028,0.125,0.08
138717,30.7,95.18,0.505,0.408,0.46
138725,54.73,54.73,0.232,0.582,0.41
138775,27.37,52.35,0.544,0.592,0.57
138836,47.35,78.29,0.316,0.481,0.40
138866,36.39,125.88,0.441,0.276,0.36
138916,53.55,90.11,0.246,0.430,0.34
138947,44.3,67.76,0.351,0.526,0.44
138979,56.29,116.79,0.214,0.315,0.26
139014,62.55,78.19,0.143,0.482,0.31
139029,67.76,104.25,0.084,0.369,0.23
139054,44.83,70.89,0.345,0.513,0.43
139071,51.91,69.85,0.264,0.518,0.39
139101,40.1,84.45,0.399,0.455,0.43
139105,50.04,50.04,0.286,0.604,0.44
139349,68.3,248.88,0.078,0.255,0.17
139454,139.64,269.46,0.736,0.344,0.54
139541,55.25,75.35,0.226,0.495,0.36
139561,34.16,204.94,0.467,0.065,0.27
139564,64.65,135.93,0.119,0.233,0.18
139609,41.99,116.53,0.378,0.317,0.35
139676,195.9,457.11,1.378,1.154,1.27
139783,63.29,271.25,0.135,0.351,0.24
139848,58.46,132.78,0.190,0.247,0.22
139866,88.41,240.1,0.152,0.217,0.18
139897,82.32,362.42,0.082,0.745,0.41
139904,40.18,85.39,0.399,0.451,0.43
139906,40.18,65.3,0.399,0.538,0.47
139959,170.79,575.05,1.092,1.663,1.38
140008,45.21,79.37,0.341,0.477,0.41
140047,35.16,134.62,0.456,0.239,0.35
140109,65.3,202.94,0.112,0.056,0.08
140216,167.59,212.04,1.056,0.096,0.58
140228,81.64,181.98,0.075,0.034,0.05
140279,260.39,396.88,2.114,0.894,1.50
140309,95.83,167.47,0.236,0.097,0.17
140338,77.44,193.6,0.027,0.016,0.02
140346,104.54,217.05,0.336,0.117,0.23
140358,96.8,174.24,0.248,0.068,0.16
140381,210.06,222.64,1.539,0.142,0.84
140414,183.92,237.16,1.240,0.204,0.72
140420,134.55,270.08,0.677,0.347,0.51
140447,87.12,135.51,0.137,0.235,0.19
140482,142.54,232.32,0.768,0.183,0.48
140487,101.64,387.2,0.302,0.853,0.58
140496,115.19,314.6,0.457,0.539,0.50
140526,123.13,287.94,0.547,0.424,0.49
140638,147.83,316.78,0.828,0.548,0.69
140645,42.23,84.48,0.374,0.455,0.41
140667,52.8,137.27,0.254,0.227,0.24
140671,115.09,136.21,0.455,0.232,0.34
140680,42.74,57.02,0.368,0.574,0.47
140681,75.08,141.6,0.000,0.209,0.10
140685,83.41,115.09,0.095,0.323,0.21
140688,89.75,143.6,0.167,0.200,0.18
140689,79.19,163.67,0.047,0.113,0.08
140692,84.48,147.83,0.107,0.182,0.14
140713,77.61,216.99,0.029,0.117,0.07
140724,72.23,147.83,0.033,0.182,0.11
140734,47.52,168.94,0.314,0.091,0.20
140738,73.91,105.59,0.014,0.365,0.19
140744,89.75,193.23,0.167,0.015,0.09
140747,47.52,142.55,0.314,0.205,0.26
140748,65.57,157.34,0.109,0.141,0.12
140757,104.54,294.6,0.335,0.453,0.39
140766,58.07,131.99,0.194,0.251,0.22
140772,190.07,253.42,1.310,0.275,0.79
140773,67.57,162.61,0.086,0.118,0.10
140774,179.51,374.85,1.189,0.801,0.99
140775,44.88,178.61,0.344,0.049,0.20
140779,73.91,126.71,0.014,0.274,0.14
140791,103.59,170.11,0.325,0.086,0.21
140794,95.03,157.34,0.227,0.141,0.18
140795,93.98,157.34,0.215,0.141,0.18
140796,122.49,221.74,0.540,0.138,0.34
140799,63.36,84.48,0.134,0.457,0.30
140806,67.57,110.87,0.086,0.342,0.21
140810,52.27,84.48,0.260,0.457,0.36
140816,68.64,100.32,0.074,0.388,0.23
140824,79.19,121.43,0.047,0.297,0.17
140829,95.03,147.83,0.227,0.182,0.20
140840,118.26,149.94,0.492,0.173,0.33
140841,400.72,600.82,3.704,1.782,2.74
140847,128.83,368.34,0.611,0.774,0.69
140862,100.32,262.92,0.287,0.317,0.30
140863,100.32,473.05,0.287,1.227,0.76
140864,87.65,126.71,0.143,0.274,0.21
140865,41.57,236.53,0.381,0.202,0.29
140878,52.8,84.48,0.254,0.457,0.36
140883,51.74,90.81,0.266,0.430,0.35
140893,132.84,143.14,0.657,0.203,0.43
140900,78.14,189.01,0.035,0.004,0.02
140903,67.32,104.54,0.089,0.370,0.23
140904,68.64,105.59,0.074,0.366,0.22
140908,73.59,167.89,0.017,0.095,0.06
140914,52.8,73.91,0.254,0.503,0.38
140924,76.12,312.66,0.012,0.533,0.27
140926,83.41,183.73,0.095,0.027,0.06
140928,194.82,312.56,1.362,0.532,0.95
140929,120.38,179.51,0.515,0.045,0.28
140932,85.53,350.67,0.119,0.698,0.41
140937,74.05,163.67,0.012,0.114,0.06
140948,71.27,123.54,0.044,0.288,0.17
140955,68.64,218.58,0.073,0.125,0.10
140956,72.69,171.06,0.027,0.082,0.05
140958,71.27,100.32,0.044,0.389,0.22
140962,65.47,102.42,0.110,0.380,0.24
140965,107.26,179.51,0.366,0.045,0.21
140978,101.19,150.39,0.297,0.172,0.23
140981,47.52,68.64,0.314,0.527,0.42
140985,47.52,95.03,0.314,0.412,0.36
140991,84.48,100.32,0.107,0.389,0.25
140992,163.67,174.23,1.008,0.068,0.54
140995,100.32,126.71,0.287,0.275,0.28
141006,57.02,131.99,0.206,0.252,0.23
141012,72.86,117.21,0.025,0.316,0.17
141013,79.83,273.48,0.054,0.364,0.21
141015,121.43,200.62,0.527,0.047,0.29
141019,211.19,211.19,1.548,0.093,0.82
141020,95.03,137.27,0.227,0.229,0.23
141021,70.74,126.71,0.050,0.275,0.16
141024,88.7,116.57,0.155,0.319,0.24
141037,95.03,126.71,0.227,0.275,0.25
141045,174.23,200.62,1.127,0.047,0.59
141049,79.24,210.12,0.047,0.088,0.07
141076,47.52,100.32,0.314,0.390,0.35
141081,95.03,219.11,0.227,0.127,0.18
141083,126.71,147.83,0.587,0.183,0.38
141099,48.57,90.81,0.302,0.431,0.37
141101,103.83,145.72,0.327,0.192,0.26
141102,47.52,89.75,0.314,0.436,0.37
141104,83.41,125.66,0.094,0.280,0.19
141108,95.03,200.62,0.227,0.047,0.14
141111,138.22,566.81,0.718,1.642,1.18
141116,136.21,158.39,0.695,0.137,0.42
141122,99.14,168.25,0.273,0.094,0.18
141123,65.57,133.89,0.108,0.244,0.18
141125,76.03,118.26,0.011,0.312,0.16
141127,84.48,105.59,0.107,0.367,0.24
141135,71.81,84.48,0.037,0.460,0.25
141148,89.75,290.38,0.167,0.438,0.30
141150,91.87,105.59,0.191,0.368,0.28
141157,140.43,236.53,0.743,0.203,0.47
141164,36.96,79.19,0.434,0.483,0.46
141175,96.09,96.09,0.239,0.409,0.32
141179,68.64,116.16,0.073,0.322,0.20
141181,73.86,126.71,0.014,0.276,0.14
141183,99.25,189.01,0.275,0.004,0.14
141192,161.56,432.4,0.983,1.058,1.02
141205,105.59,391.11,0.347,0.878,0.61
141207,109.06,203.01,0.386,0.057,0.22
141213,84.48,84.48,0.107,0.460,0.28
141223,89.75,126.71,0.166,0.276,0.22
141238,100.32,158.39,0.287,0.137,0.21
141244,93.35,210.92,0.207,0.092,0.15
141248,91.29,161.7,0.184,0.123,0.15
141249,80.78,147.83,0.065,0.184,0.12
141250,87.65,165.78,0.143,0.105,0.12
141254,64.52,122.06,0.120,0.296,0.21
141268,101.37,163.46,0.299,0.115,0.21
141271,52.27,82.36,0.259,0.470,0.36
141276,92.28,200.63,0.195,0.047,0.12
141277,105.59,229.66,0.346,0.174,0.26
141280,66.52,66.52,0.098,0.539,0.32
141283,73.86,116.1,0.014,0.322,0.17
141284,165.91,216.27,1.032,0.115,0.57
141291,61.77,131.99,0.151,0.253,0.20
141303,92.4,190.07,0.197,0.001,0.10
141314,84.48,84.48,0.107,0.461,0.28
141322,76.18,118.79,0.012,0.311,0.16
141323,125.66,167.89,0.574,0.096,0.34
141337,95.03,142.55,0.226,0.207,0.22
141341,42.23,95.03,0.374,0.415,0.39
141344,63.36,89.75,0.133,0.438,0.29
141353,84.48,84.48,0.107,0.461,0.28
141355,79.19,100.32,0.046,0.392,0.22
141358,52.27,139.38,0.260,0.221,0.24
141360,163.67,163.67,1.006,0.115,0.56
141361,84.48,221.74,0.107,0.140,0.12
141363,100.32,147.83,0.287,0.184,0.24
141365,101.37,177.39,0.298,0.055,0.18
141369,84.48,121.43,0.107,0.300,0.20
141375,63.36,137.27,0.133,0.231,0.18
141376,79.19,88.7,0.046,0.443,0.24
141400,62.3,157.34,0.145,0.143,0.14
141408,142.55,184.78,0.766,0.022,0.39
141409,116.16,168.94,0.467,0.092,0.28
141411,73.91,105.59,0.014,0.370,0.19
141425,79.19,142.55,0.046,0.208,0.13
141463,83.41,88.7,0.094,0.444,0.27
141474,86.58,116.16,0.130,0.323,0.23
141480,84.48,146.77,0.107,0.189,0.15
141487,58.07,100.32,0.194,0.393,0.29
141493,87.65,124.18,0.143,0.288,0.22
141497,79.19,116.16,0.046,0.324,0.19
141508,127.76,275.6,0.598,0.376,0.49
141521,54.9,105.59,0.230,0.370,0.30
141523,81.31,200.62,0.071,0.047,0.06
141532,168.94,168.94,1.066,0.092,0.58
141537,109.29,131.99,0.388,0.254,0.32
141543,65.57,312.66,0.108,0.539,0.32
141558,103.48,145.72,0.322,0.194,0.26
141563,66.52,108.76,0.097,0.356,0.23
141564,52.27,99.78,0.259,0.396,0.33
141568,102.03,143.45,0.306,0.204,0.26
141570,68.64,227.03,0.073,0.163,0.12
141574,47.52,63.36,0.313,0.556,0.43
141576,68.64,68.64,0.073,0.533,0.30
141584,67.94,127.34,0.081,0.275,0.18
141588,48.9,55.44,0.298,0.591,0.44
141589,52.22,80.14,0.260,0.483,0.37
141593,95.03,145.55,0.227,0.195,0.21
141594,107.7,162.61,0.371,0.120,0.25
141598,104.54,174.23,0.335,0.069,0.20
141602,80.52,101.99,0.062,0.387,0.22
141603,77.19,172.11,0.024,0.078,0.05
141606,60.82,136.21,0.162,0.236,0.20
141610,101.37,174.23,0.299,0.069,0.18
141612,95.03,253.42,0.227,0.280,0.25
141615,100.32,220.69,0.287,0.136,0.21
141624,125.66,485.72,0.575,1.302,0.94
141629,104.54,199.57,0.335,0.043,0.19
141633,52.27,118.79,0.260,0.313,0.29
141638,52.8,110.87,0.254,0.348,0.30
141641,67.57,158.39,0.086,0.139,0.11
141642,55.21,167.36,0.226,0.099,0.16
141644,95.03,359.01,0.227,0.745,0.49
141648,177.5,290.64,1.164,0.444,0.80
141651,97.15,149.94,0.251,0.176,0.21
141663,116.26,258.81,0.468,0.304,0.39
141668,75.08,167.89,0.000,0.097,0.05
141669,44.35,68.64,0.350,0.534,0.44
141674,89.36,314.35,0.162,0.548,0.36
141676,82.68,171.06,0.086,0.083,0.08
141677,55.59,82.68,0.222,0.472,0.35
141680,68.64,68.64,0.073,0.534,0.30
141685,75.08,95.03,0.000,0.418,0.21
141687,105.59,205.9,0.347,0.071,0.21
141694,38.01,112.77,0.422,0.340,0.38
141697,81.83,231.25,0.077,0.182,0.13
141699,52.8,147.83,0.254,0.185,0.22
141706,83.41,195.35,0.095,0.024,0.06
141709,61.04,110.87,0.160,0.349,0.25
141711,65.29,75.84,0.112,0.503,0.31
141713,93.98,130.93,0.215,0.260,0.24
141716,89.75,158.39,0.167,0.139,0.15
141725,82.36,131.99,0.083,0.256,0.17
141728,179.61,409.69,1.189,0.970,1.08
141737,42.23,73.91,0.374,0.512,0.44
141738,50.68,87.62,0.278,0.451,0.36
141748,76.03,86.58,0.011,0.456,0.23
141749,79.19,100.32,0.047,0.396,0.22
141754,63.36,108.76,0.134,0.358,0.25
141757,142.55,190.07,0.767,0.001,0.38
141766,77.57,115.09,0.028,0.330,0.18
141768,84.58,949.38,0.108,3.352,1.73
141772,83.41,136.21,0.095,0.237,0.17
141780,180.56,263.98,1.200,0.327,0.76
141783,104.54,171.06,0.335,0.083,0.21
141792,57.02,106.44,0.206,0.368,0.29
141807,84.48,116.16,0.107,0.326,0.22
141814,50.46,109.29,0.280,0.356,0.32
141815,91.23,121.96,0.184,0.300,0.24
141816,71.27,95.03,0.044,0.419,0.23
141818,68.11,158.39,0.080,0.139,0.11
141835,61.24,131.99,0.158,0.256,0.21
141840,129.88,253.42,0.623,0.281,0.45
141846,58.07,97.15,0.194,0.410,0.30
141849,68.64,125.66,0.074,0.284,0.18
141851,67.57,67.57,0.086,0.541,0.31
141868,45.15,107.73,0.341,0.363,0.35
141869,65.47,737.65,0.110,2.421,1.27
141870,37.11,79.19,0.433,0.489,0.46
141873,48.24,125.44,0.306,0.285,0.30
141888,133.05,232.3,0.660,0.188,0.42
141892,99.25,136.21,0.275,0.237,0.26
141895,57.02,79.19,0.206,0.490,0.35
141910,73.91,131.99,0.014,0.256,0.13
141913,68.64,106.39,0.074,0.369,0.22
141914,203.79,417.09,1.465,1.005,1.23
141919,80.78,184.78,0.065,0.023,0.04
141931,73.91,116.16,0.014,0.326,0.17
141936,81.31,173.18,0.071,0.074,0.07
141937,68.64,184.78,0.074,0.023,0.05
141950,88.7,167.89,0.155,0.097,0.13
141951,89.75,121.43,0.167,0.303,0.23
141954,75.49,255.54,0.004,0.291,0.15
141957,71.81,143.6,0.037,0.205,0.12
141969,73.91,116.16,0.014,0.326,0.17
141977,115.09,167.89,0.455,0.097,0.28
141979,52.8,79.19,0.254,0.490,0.37
141984,44.88,105.59,0.344,0.373,0.36
141991,71.81,205.9,0.037,0.071,0.05
141995,89.75,137.27,0.167,0.233,0.20
142001,83.41,147.83,0.095,0.186,0.14
142009,73.91,195.35,0.014,0.024,0.02
142028,40.55,117.74,0.394,0.320,0.36
142039,89.75,137.27,0.167,0.233,0.20
142057,116.16,174.23,0.468,0.069,0.27
142065,52.8,121.43,0.254,0.303,0.28
142068,43.08,106.44,0.365,0.370,0.37
142092,52.8,100.32,0.254,0.397,0.33
142093,137.27,422.36,0.708,1.031,0.87
142110,83.63,104.54,0.097,0.378,0.24
142112,63.36,101.37,0.134,0.393,0.26
142113,87.65,179.51,0.143,0.046,0.09
142119,95.03,137.27,0.227,0.233,0.23
142136,137.27,137.27,0.708,0.233,0.47
142143,52.8,163.67,0.254,0.116,0.19
142155,72.86,146.77,0.026,0.191,0.11
142156,130.41,313.61,0.630,0.549,0.59
142158,79.19,126.71,0.047,0.280,0.16
142171,79.19,95.03,0.047,0.421,0.23
142180,72.86,83.41,0.026,0.473,0.25
142181,84.58,93.98,0.108,0.426,0.27
142184,103.59,189.01,0.325,0.004,0.16
142185,79.19,475.16,0.047,1.267,0.66
142197,88.85,117.21,0.157,0.323,0.24
142201,43.3,133.05,0.362,0.252,0.31
142202,62.3,109.82,0.146,0.356,0.25
142203,60.19,180.56,0.170,0.041,0.11
142204,94.08,317.73,0.216,0.568,0.39
142206,80.78,190.07,0.065,0.001,0.03
142208,79.19,97.15,0.047,0.412,0.23
142215,58.07,158.39,0.194,0.140,0.17
142219,107.7,107.7,0.372,0.365,0.37
142224,137.27,137.27,0.709,0.234,0.47
142226,52.27,179.51,0.260,0.046,0.15
142234,52.8,105.59,0.254,0.375,0.31
142243,89.75,100.32,0.167,0.398,0.28
142247,89.75,126.71,0.167,0.281,0.22
142255,83.41,110.87,0.095,0.351,0.22
142263,99.78,175.28,0.281,0.065,0.17
142265,110.87,216.46,0.408,0.118,0.26
142278,168.94,200.62,1.069,0.048,0.56
142284,147.83,263.98,0.829,0.330,0.58
142285,72.86,93.98,0.026,0.427,0.23
142286,73.91,104.54,0.014,0.380,0.20
142292,126.71,147.83,0.588,0.187,0.39
142294,95.03,158.39,0.227,0.140,0.18
142305,91.44,140.43,0.186,0.220,0.20
142309,51.74,79.19,0.266,0.493,0.38
142311,74.44,154.17,0.008,0.159,0.08
142315,69.29,96.21,0.066,0.417,0.24
142322,94.08,315.72,0.216,0.560,0.39
142330,109.29,142.55,0.390,0.211,0.30
142332,79.19,110.87,0.047,0.352,0.20
142333,71.81,109.71,0.037,0.357,0.20
142341,68.64,126.71,0.074,0.282,0.18
